repo,number,title,body,label
QWED-AI/qwed-infra,67,[Security] NotAction/NotResource statements silently model as empty (CWE-693),"Part of tracker #62 (audit key BUG-R2-S1-A5-H6, CVSS 10.0, reproduced on main).

## Summary

_build_statement_condition reads only Action/Resource keys. A statement using NotAction/NotResource (no Action key) yields an empty pattern list, models as logical False with no exception, and vanishes from the proof: a near-admin Allow (NotAction single-read on *) verifies as compliant, verify_access is blind to everything such policies grant, and invisible NotAction-Denies are dropped (false ALLOWED proofs that reach VC ADMIT). TerraformParser passes the keys through untouched (zero occurrences of NotAction anywhere in code/tests/docs). Reproduced live 2026-09-14 (NotAction near-admin → verified=True, allowed=False).

## Anchors

- qwed_infra/guards/iam_guard.py:183-209 (empty-list → False coercion, no exception path)
- qwed_infra/guards/iam_guard.py:211-228 (invisible Allow contributes nothing; invisible Deny dropped)
- qwed_infra/parsers/terraform_parser.py:217-250 (keys never inspected)
- Residue of the #9 fix family (commented on #9)

## Fix direction

Fail closed on unmodeled statement elements: raise on NotAction/NotResource/NotPrincipal in both the guard and the parser (mirroring the unresolved-interpolation refusal), so verify_access returns UNVERIFIABLE instead of guessing. Report includes patch text; treat as starting point, review adversarially.",SECURITY
QWED-AI/qwed-infra,66,[Security] Least-privilege needs existential condition quantification (CWE-693),"Part of tracker #62 (audit key BUG-R2-S1-A2-H5-existential, CVSS 7.1, EXP-confirmed by auditors).

## Summary

Deeper variant of #65: even the probe-context concept is wrong. Conditions must be evaluated existentially (""does ANY request context receive full admin""), but verify_access creates Z3 variables only for action/resource and pins both to constants — the solver has zero freedom to vary condition inputs, so the verdict is fully determined by one synthetic context. Unimplemented operators (Bool, DateGreaterThan, ArnLike, ...) are invisible under EVERY context, so no caller-side multi-probe hardening can see those grants. Complementary to #65 (sampling) and #63/#64 (polarity), not redundant with either.

## Anchors

- qwed_infra/guards/iam_guard.py:256-258 (only s_action/s_resource are symbolic; pinned by query)
- qwed_infra/guards/iam_guard.py:149-165 (unknown operators → False under all contexts)

## Fix direction

Introduce a symbolic request-context variable (String sort is already imported) for existential evaluation, or fail closed to UNVERIFIABLE wherever conditions cannot be proven unsatisfiable. Report sketches condition-stripped probing with conditional-Deny dropping; treat as starting point, review adversarially.",SECURITY
QWED-AI/qwed-infra,65,[Security] Least-privilege probe samples one fixed context; condition-scoped admin passes (CWE-693),"Part of tracker #62 (audit key BUG-R2-S1-A2-H4, CVSS 7.1, reproduced on main).

## Summary

verify_least_privilege answers ""does this policy allow full admin"" by sampling ONE hard-wired request context (SourceIp 0.0.0.0, CurrentTime 2100-01-01). Any ""Allow * on *"" scoped by a condition that probe doesn't satisfy (attacker CIDR, active time window, principal match, always-true Bool, unimplemented operators) evaluates False, drops out of the Z3 model, and the policy verifies as compliant. Conditions satisfiable by the attacker's own requests are invisible to the gate.

## Anchors

- qwed_infra/guards/iam_guard.py:302 verify_least_privilege (fixed probe context, no parameter to change it)
- qwed_infra/guards/iam_guard.py:167 _evaluate_condition (concrete single-context evaluation), :149 operator dispatch (unknown operators → False)
- No Z3 variable ever exists for a context key (:256-258 pin action/resource only)

## Fix direction

Least privilege needs existential quantification (does ANY request context receive admin) or fail-closed UNVERIFIABLE where it can't be proven. Report proposes treating conditional Allow-*-on-* as violation-by-default (human decides if scoping is acceptable); treat as starting point. Complements (not duplicates) the H1/H5 polarity fixes — those repair verdict direction, this repairs what the probe can see.",SECURITY
QWED-AI/qwed-infra,64,[Security] IamGuard adapter admits deny-oriented risk outcomes (CWE-284),"Part of tracker #62 (audit key BUG-R2-S1-A2-H5, CVSS 10.0, reproduced end to end on main).

## Summary

The to_verification_context provenance gate keeps VERIFIED only when allowed is True — correct solely for allow-oriented statements. For the README's canonical deny-oriented check (""Is it accessible from the public internet?"", context 8.8.8.8), allowed=True is the risk outcome, so a publicly-accessible policy (up to full-admin wildcard, plus smuggled statements the check never queries) is the only ADMIT-able result under the documented ""IAM policy is safe to apply"" statement, with a valid ES256 attestation. The IP-restricted safe policy is structurally DENIED.

## Anchors

- qwed_infra/guards/iam_guard.py:390 to_verification_context gate (allowed is True direction)
- qwed_infra/guards/iam_guard.py:317 to_diagnostic (both outcomes map to VERIFIED)
- README:255-262 schematic pairing the deny-oriented example with the safety statement; tests pinning the inverted composition

## Fix direction

The gate must bind ADMIT to the truth of the attested claim, not to the check-positive outcome — e.g. a polarity parameter declaring which outcome makes the statement true (default deny-oriented). Report proposes admit_on_allow=False default; treat as starting point, review adversarially (mind the H1 interaction: the two fixes must agree on what a violation looks like at every layer).",SECURITY
kovagent/fundskit,74,security-nightly: advisory finding 2026-09-14,"Nightly security sweep failed on 2026-09-14.

Run: https://github.com/kovagent/fundskit/actions/runs/34841922111

Triage:
1. Identify the advisory(ies) flagged by cargo-audit / cargo-deny.
2. If a transitive dep needs upgrade — bump the lockfile.
3. If the advisory is benign / unfixable — add to audit.toml + deny.toml with rationale.
4. Re-run via workflow_dispatch to confirm green.",SECURITY
kainpl/bamdude,47,Security Alert: 2 npm vulnerabilities found,"## Automated Security Audit Results

The weekly security audit found vulnerabilities in npm dependencies.

| Package | Severity | Via | Fix |
|---------|----------|-----|-----|
| @tiptap/core | high | @tiptap/core, @tiptap/core | Yes |
| fflate | moderate | fflate | Yes |


### Recommended Actions

1. Review each vulnerability: `npm audit`
2. Auto-fix if possible: `npm audit fix`
3. Manual fix for breaking changes: `npm audit fix --force` (review changes!)

---
*This issue was automatically created by the security audit workflow.*",SECURITY
NovaCoreLabs1/NovaLabs,255,[weekly-audit] Security / licence findings — 2026-09-14,"## Weekly Audit Failure

**Run:** [34841868232](https://github.com/NovaCoreLabs1/NovaLabs/actions/runs/34841868232)
**Date:** 2026-09-14

### Action Required
- Review the failed job(s) in the linked workflow run.
- Resolve any high/critical `npm audit` or `cargo audit` findings.
- Ensure all dependency licenses remain compliant.

> Auto-generated by the Weekly Security Audit workflow.",SECURITY
QWED-AI/qwed-infra,63,[Security] IamGuard least-privilege verdict inversion: full-admin policy ADMITted as compliant (CWE-863),"Part of tracker #62 (audit key BUG-R2-S1-A2-H1, CVSS 10.0, reproduced end to end on main).

## Summary

verify_least_privilege() returns allowed=True for over-privileged policies (violation value), but every layer above the raw result reads it with verify_access polarity: to_diagnostic() maps it to VERIFIED/ALLOWED, mint_diagnostic_attestation() signs it, and the bridge emits ADMIT. A full-admin wildcard policy (Action * / Resource *) flows verified=True, allowed=True → VERIFIED → minted → ADMIT. Reproduced live 2026-09-14.

## Anchors

- qwed_infra/guards/iam_guard.py:302 verify_least_privilege (inverted contract, documented only in raw-result docstring)
- qwed_infra/guards/iam_guard.py:20 shared constraint id (iam_guard.verify_access) — layers cannot tell the checks apart
- qwed_infra/guards/iam_guard.py:318 to_diagnostic, attestation.py:591 mint, verification_context_bridge.py:199,283 bridge
- Mirror of #58 (denials-mint-VERIFIED); defeats #58's evidence-parsing mitigation since the violation carries allowed=true

## Fix direction

Attribute results to their producing check (distinct constraint id / check tag on VerificationResult) and fail closed in to_diagnostic on violation values — a violation must never surface as VERIFIED. Report proposes a check field + per-check mapping; treat as starting point, review adversarially.",SECURITY
QWED-AI/qwed-infra,62,[Tracker] OpenVuln external audit (2026-09) — qwed-infra findings remediation,"Source: OpenVuln external audit of QWED-AI/qwed-infra (snapshot v0.3.0, 2026-09). 16 findings, all reproduced against current main before filing. Prior audit (tracker #342-pattern from qwed-verification) showed these auditors probe one step sideways from each fix — expect bypass variants until each fix below is structural (reject the unknown, not one more known shape).

## IamGuard polarity family (gates inverted today — first)
- [ ] #H1 least-privilege verdict inversion (full-admin ADMITted)
- [ ] #H5 adapter admission-polarity inversion (deny-oriented checks)
- [ ] #H4 single-probe-context false negative (condition-scoped admin)
- [ ] #H5-existential fixed-probe quantification gap
- [ ] #H6 NotAction/NotResource modeled as empty

## ArtifactBoundaryGuard (release gate trusts attacker-shaped scope)
- [ ] Wheel build-level keys (+ sdist, same root cause — one issue)
- [ ] only-packages exemption suppresses force-include check
- [ ] Build hooks + build-system.requires unmodeled (RCE in build job)
- [ ] Secrets-content scanning (filename-only gate)

## Parser + cost (model completeness)
- [ ] HCL %{...} directives invisible to interpolation guard
- [ ] Unknown resource types dropped silently (+ IAM-bearing fail-closed)
- [ ] Cost undercount via dropped/defaulted declarations
- [ ] IAM compute-cost DoS bounds

## Architecture (design decision first, no patch PR straight away)
- [ ] VC downstream validators trust unkeyed hashes (forgery + stale ADMIT)

Related commented issues: #58 (mirror case), #59 (item 5 covered), #36 (criterion 4 violated), #7 (checklist mapping), #9 and #11 (fix-family residue).",SECURITY
mmsge/agent-profile-manager,61,D12 should date the orphaned Keychain entries it counts,"Observed on a real Mac (macOS 26.6.2, 2026-09-14), the first time D12 met a real Keychain with real accounts. `doctor --keychain-scan` reported:

```
D12  64 Keychain credential entr(ies) belong to no known root
     service prefix: Claude Code-credentials-
     Left over from roots that no longer exist, or from roots this tool
     does not know about. The suffix is a one-way hash, so they cannot be
     traced back to a path. Harmless, but they accumulate.
```

Sixty-four is a number that makes a careful reader stop, and the finding gives them nothing to judge it with. The Keychain's own attributes do. Read with `security dump-keychain` and no `-d`, which is attributes only and never a secret, the 67 entries under that prefix broke down as:

- creation dates: 66 between 2026-04-22 and 2026-06-18, one to seven per working day, then one on 2026-09-07
- modification dates: identical to the creation dates for 64 of them, so never refreshed after the day they were made; the other three were modified on 2026-09-07 (two) and 2026-09-14 (one), and those three are exactly the tool's three live roots
- account attribute: 66 under the user's short name, one under `unknown`, which looks like a launch with no `USER` in its environment

So D12 was right: 64 dead entries from a workflow that gave Claude Code a fresh root per session for eight weeks and stopped. But it took two hand-written `security` pipelines to know that, and the whole point of the rule is that the reader should not have to.

## What to change

When D12 fires, read `cdat` and `mdat` for the matching entries from the same attribute-only dump the scan already uses, and print the range: how many entries, created between which dates, and the latest modification date, so the finding reads as evidence rather than a count. ""64 entries, created 2026-04-22 to 2026-06-18, none modified since 2026-06-18"" says dead; ""3 modified this month"" says something is alive that the tool does not know about, which is a different finding and should be worded as one. Consider a separate line for entries whose modification date is within the last 30 days.

At `--explain`, consider listing each entry's service name with its two dates, so a user who wants to clean up can do so by hand with the tool's usual `security delete-generic-password -s <service>` shape. The tool must keep never deleting them itself; this is the D12 half of the ""never touches a credential"" invariant, and it stays.

Test with the stand-in `security` in `tests/cases/60-credentials.sh`, which will need to emit `cdat` and `mdat` attributes in the shape the real `dump-keychain` prints them (`""cdat""<timedate>=0x... ""20260618120000Z\000""`), plus a case where an orphan was modified recently and the wording changes. Record the real-machine breakdown above under F03 in `docs/FACTS.md` as the first observation of D12 against a real Keychain.

## Run with

- Model: Claude Sonnet 5 (`claude-sonnet-5`)
- Effort: `medium`

## Done when

- D12's finding states the creation range and latest modification of the orphaned entries.
- An orphan modified within the last 30 days is called out separately.
- `--explain` lists the entries with dates; nothing reads a credential value; nothing deletes.
- The stand-in `security` emits the two attributes and the tests cover both wordings.
- The 2026-09-14 breakdown is recorded in `docs/FACTS.md`.",SECURITY
